,0,1,2,3,4
81,2018-03-16 17:26:48.561,-18000000,-0.36651611328125,-0.30755615234375,-0.1156005859375
82,2018-03-16 17:26:48.604,-18000000,-0.3692626953125,-0.31219482421875,-0.119873046875
83,2018-03-16 17:26:48.647,-18000000,-0.36712646484375,-0.32073974609375,-0.11834716796875
84,2018-03-16 17:26:48.690,-18000000,-0.36224365234375,-0.31671142578125,-0.12322998046875
85,2018-03-16 17:26:48.733,-18000000,-0.36077880859375,-0.3155517578125,-0.1292724609375
86,2018-03-16 17:26:48.776,-18000000,-0.36572265625,-0.3116455078125,-0.12396240234375
87,2018-03-16 17:26:48.819,-18000000,-0.36163330078125,-0.30743408203125,-0.12188720703125
88,2018-03-16 17:26:48.862,-18000000,-0.36431884765625,-0.307861328125,-0.12103271484375
89,2018-03-16 17:26:48.905,-18000000,-0.3656005859375,-0.30914306640625,-0.11895751953125
90,2018-03-16 17:26:49.343,-18000000,-0.3641357421875,-0.313720703125,-0.11553955078125
101,2018-03-16 17:26:49.388,-18000000,-0.369873046875,-0.298095703125,-0.11895751953125
102,2018-03-16 17:26:49.433,-18000000,-0.37066650390625,-0.2999267578125,-0.126953125
103,2018-03-16 17:26:49.478,-18000000,-0.3673095703125,-0.30084228515625,-0.127197265625
104,2018-03-16 17:26:49.523,-18000000,-0.3651123046875,-0.29534912109375,-0.12640380859375
105,2018-03-16 17:26:49.568,-18000000,-0.36737060546875,-0.2982177734375,-0.126708984375
106,2018-03-16 17:26:49.613,-18000000,-0.3643798828125,-0.30023193359375,-0.134765625
107,2018-03-16 17:26:49.658,-18000000,-0.3604736328125,-0.29864501953125,-0.13739013671875
108,2018-03-16 17:26:49.703,-18000000,-0.35968017578125,-0.30584716796875,-0.13995361328125
109,2018-03-16 17:26:49.748,-18000000,-0.36077880859375,-0.31195068359375,-0.14044189453125
110,2018-03-16 17:26:50.186,-18000000,-0.36065673828125,-0.31097412109375,-0.13946533203125
120,2018-03-16 17:26:50.591,-18000000,-0.354248046875,-0.31231689453125,-0.14404296875
130,2018-03-16 17:26:50.963,-18000000,-0.35211181640625,-0.3031005859375,-0.14312744140625
141,2018-03-16 17:26:51.011,-18000000,-0.354736328125,-0.30621337890625,-0.14581298828125
142,2018-03-16 17:26:51.059,-18000000,-0.3531494140625,-0.30718994140625,-0.14556884765625
143,2018-03-16 17:26:51.107,-18000000,-0.35302734375,-0.3046875,-0.14764404296875
144,2018-03-16 17:26:51.155,-18000000,-0.3541259765625,-0.3043212890625,-0.1495361328125
145,2018-03-16 17:26:51.203,-18000000,-0.35479736328125,-0.3055419921875,-0.153076171875
146,2018-03-16 17:26:51.251,-18000000,-0.358642578125,-0.306884765625,-0.15411376953125
147,2018-03-16 17:26:51.299,-18000000,-0.3585205078125,-0.2957763671875,-0.1513671875
148,2018-03-16 17:26:51.347,-18000000,-0.35772705078125,-0.3031005859375,-0.15325927734375
149,2018-03-16 17:26:51.395,-18000000,-0.35406494140625,-0.31109619140625,-0.156982421875
0,2018-03-16 17:26:41.569,-18000000,0.414306640625,-0.227783203125,0.18487548828125
1,2018-03-16 17:26:41.605,-18000000,0.4139404296875,-0.22662353515625,0.1859130859375
2,2018-03-16 17:26:41.641,-18000000,0.41363525390625,-0.22747802734375,0.1845703125
3,2018-03-16 17:26:41.677,-18000000,0.412841796875,-0.22796630859375,0.18414306640625
4,2018-03-16 17:26:41.713,-18000000,0.41229248046875,-0.22802734375,0.18414306640625
5,2018-03-16 17:26:41.749,-18000000,0.4130859375,-0.22674560546875,0.1861572265625
6,2018-03-16 17:26:41.785,-18000000,0.41387939453125,-0.22845458984375,0.18499755859375
7,2018-03-16 17:26:41.821,-18000000,0.41339111328125,-0.22808837890625,0.1846923828125
8,2018-03-16 17:26:41.857,-18000000,0.41290283203125,-0.22760009765625,0.18511962890625
9,2018-03-16 17:26:41.893,-18000000,0.41156005859375,-0.22772216796875,0.18310546875
10,2018-03-16 17:26:42.322,-18000000,0.414306640625,-0.22906494140625,0.187255859375
20,2018-03-16 17:26:42.382,-18000000,0.41162109375,-0.22918701171875,0.18408203125
21,2018-03-16 17:26:42.442,-18000000,0.41241455078125,-0.2286376953125,0.1839599609375
22,2018-03-16 17:26:42.502,-18000000,0.41314697265625,-0.22998046875,0.1834716796875
23,2018-03-16 17:26:42.562,-18000000,0.4136962890625,-0.23175048828125,0.1826171875
24,2018-03-16 17:26:42.622,-18000000,0.4132080078125,-0.2303466796875,0.1839599609375
25,2018-03-16 17:26:42.682,-18000000,0.411865234375,-0.22998046875,0.18328857421875
26,2018-03-16 17:26:42.742,-18000000,0.4124755859375,-0.229736328125,0.1842041015625
28,2018-03-16 17:26:42.795,-18000000,0.4127197265625,-0.23046875,0.1812744140625
29,2018-03-16 17:26:42.848,-18000000,0.41119384765625,-0.2315673828125,0.18121337890625
30,2018-03-16 17:26:42.901,-18000000,0.4144287109375,-0.23150634765625,0.18377685546875
31,2018-03-16 17:26:42.954,-18000000,0.4112548828125,-0.2313232421875,0.18194580078125
32,2018-03-16 17:26:43.007,-18000000,0.41009521484375,-0.23199462890625,0.18084716796875
33,2018-03-16 17:26:43.060,-18000000,0.41259765625,-0.23187255859375,0.1832275390625
34,2018-03-16 17:26:43.113,-18000000,0.41265869140625,-0.23126220703125,0.1846923828125
35,2018-03-16 17:26:43.166,-18000000,0.41217041015625,-0.2332763671875,0.18499755859375
36,2018-03-16 17:26:43.640,-18000000,0.41278076171875,-0.2310791015625,0.184814453125
46,2018-03-16 17:26:43.927,-18000000,0.411376953125,-0.232421875,0.1826171875
56,2018-03-16 17:26:44.317,-18000000,0.415283203125,-0.22998046875,0.1810302734375
64,2018-03-16 17:26:44.707,-18000000,0.4241943359375,-0.21429443359375,0.17352294921875
74,2018-03-16 17:26:45.048,-18000000,0.43707275390625,-0.1978759765625,0.15570068359375
85,2018-03-16 17:26:45.091,-18000000,0.4381103515625,-0.21063232421875,0.1419677734375
86,2018-03-16 17:26:45.134,-18000000,0.438232421875,-0.2130126953125,0.1424560546875
87,2018-03-16 17:26:45.177,-18000000,0.44024658203125,-0.212646484375,0.14306640625
88,2018-03-16 17:26:45.220,-18000000,0.43829345703125,-0.212890625,0.1417236328125
89,2018-03-16 17:26:45.263,-18000000,0.4375,-0.212158203125,0.14105224609375
90,2018-03-16 17:26:45.306,-18000000,0.43756103515625,-0.21441650390625,0.14306640625
91,2018-03-16 17:26:45.349,-18000000,0.439208984375,-0.2130126953125,0.14520263671875
92,2018-03-16 17:26:45.392,-18000000,0.4368896484375,-0.211181640625,0.145751953125
93,2018-03-16 17:26:45.435,-18000000,0.4326171875,-0.2127685546875,0.1451416015625
